population,avg_salary,total_cases,death,city_name,state_name
2560,41212.5,16288,290,Abbeville ,Alabama
4281,41212.5,27238,486,Adamsville ,Alabama
33487,41212.5,213062,3805,Alabaster ,Alabama
21711,41212.5,138137,2467,Albertville ,Alabama
14317,41212.5,91092,1627,Alexander City ,Alabama
2254,41212.5,14341,256,Aliceville ,Alabama
8680,41212.5,55226,986,Andalusia ,Alabama
21287,41212.5,135439,2419,Anniston ,Alabama
8383,41212.5,53337,952,Arab ,Alabama
2365,41212.5,15047,268,Ashville ,Alabama
27366,41212.5,174117,3110,Athens ,Alabama
9107,41212.5,57943,1035,Atmore ,Alabama
5771,41212.5,36718,655,Attalla ,Alabama
66259,41212.5,421576,7530,Auburn ,Alabama
9354,41212.5,59515,1063,Bay Minette ,Alabama
2479,41212.5,15772,281,Bayou La Batre ,Alabama
26472,41212.5,168429,3008,Bessemer ,Alabama
209403,41212.5,1332338,23798,Birmingham ,Alabama
9704,41212.5,61742,1102,Boaz ,Alabama
4747,41212.5,30203,539,Brent ,Alabama
5210,41212.5,33148,592,Brewton ,Alabama
2297,41212.5,14614,261,Bridgeport ,Alabama
2775,41212.5,17656,315,Brighton ,Alabama
1902,41212.5,12101,216,Brundidge ,Alabama
14717,41212.5,93637,1672,Calera ,Alabama
1765,41212.5,11229,200,Camden ,Alabama
1892,41212.5,12037,215,Carbon Hill ,Alabama
16110,41212.5,102500,1830,Center Point ,Alabama
3542,41212.5,22536,402,Centre ,Alabama
2609,41212.5,16599,296,Centreville ,Alabama
14126,41212.5,89877,1605,Chelsea ,Alabama
5702,41212.5,36279,648,Chickasaw ,Alabama
4837,41212.5,30775,549,Childersburg ,Alabama
3861,41212.5,24565,438,Citronelle ,Alabama
8794,41212.5,55952,999,Clanton ,Alabama
9923,41212.5,63135,1127,Clay ,Alabama
1274,41212.5,8105,144,Clio ,Alabama
4550,41212.5,28949,517,Columbiana ,Alabama
1850,41212.5,11770,210,Cordova ,Alabama
2036,41212.5,12954,231,Creola ,Alabama
16034,41212.5,102017,1822,Cullman ,Alabama
3053,41212.5,19424,346,Dadeville ,Alabama
5102,41212.5,32461,579,Daleville ,Alabama
26869,41212.5,170955,3053,Daphne ,Alabama
54445,41212.5,346409,6187,Decatur ,Alabama
6612,41212.5,42069,751,Demopolis ,Alabama
1905,41212.5,12120,216,Dora ,Alabama
68941,41212.5,438641,7835,Dothan ,Alabama
2356,41212.5,14990,267,East Brewton ,Alabama
3811,41212.5,24247,433,Elba ,Alabama
28376,41212.5,180543,3224,Enterprise ,Alabama
11709,41212.5,74499,1330,Eufaula ,Alabama
3526,41212.5,22434,400,Evergreen ,Alabama
10568,41212.5,67239,1201,Fairfield ,Alabama
22677,41212.5,144283,2577,Fairhope ,Alabama
4275,41212.5,27199,485,Fayette ,Alabama
40797,41212.5,259573,4636,Florence ,Alabama
20391,41212.5,129738,2317,Foley ,Alabama
14074,41212.5,89546,1599,Fort Payne ,Alabama
9284,41212.5,59069,1055,Fultondale ,Alabama
35000,41212.5,222689,3977,Gadsden ,Alabama
14177,41212.5,90201,1611,Gardendale ,Alabama
4289,41212.5,27289,487,Geneva ,Alabama
5071,41212.5,32264,576,Glencoe ,Alabama
2362,41212.5,15028,268,Good Hope ,Alabama
2092,41212.5,13310,237,Graysville ,Alabama
2268,41212.5,14430,257,Greensboro ,Alabama
7395,41212.5,47051,840,Greenville ,Alabama
2275,41212.5,14474,258,Guin ,Alabama
12757,41212.5,81167,1449,Gulf Shores ,Alabama
8571,41212.5,54533,974,Guntersville ,Alabama
4142,41212.5,26353,470,Haleyville ,Alabama
6606,41212.5,42031,750,Hamilton ,Alabama
3461,41212.5,22020,393,Hanceville ,Alabama
2578,41212.5,16402,292,Hartford ,Alabama
14466,41212.5,92040,1644,Hartselle ,Alabama
4712,41212.5,29980,535,Headland ,Alabama
3409,41212.5,21689,387,Heflin ,Alabama
19925,41212.5,126773,2264,Helena ,Alabama
2363,41212.5,15034,268,Henagar ,Alabama
4257,41212.5,27085,483,Hokes Bluff ,Alabama
25377,41212.5,161462,2884,Homewood ,Alabama
85768,41212.5,545703,9747,Hoover ,Alabama
15322,41212.5,97487,1741,Hueytown ,Alabama
200574,41212.5,1276163,22795,Huntsville ,Alabama
2559,41212.5,16281,290,Indian Springs Village ,Alabama
12893,41212.5,82032,1465,Irondale ,Alabama
4642,41212.5,29534,527,Jackson ,Alabama
12544,41212.5,79811,1425,Jacksonville ,Alabama
13431,41212.5,85455,1526,Jasper ,Alabama
2672,41212.5,17000,303,Jemison ,Alabama
3593,41212.5,22860,408,Kimberly ,Alabama
2910,41212.5,18515,330,La Fayette ,Alabama
6151,41212.5,39136,699,Lanett ,Alabama
12040,41212.5,76605,1368,Leeds ,Alabama
6781,41212.5,43144,770,Lincoln ,Alabama
1880,41212.5,11961,213,Linden ,Alabama
2249,41212.5,14309,255,Lineville ,Alabama
2139,41212.5,13609,243,Lipscomb ,Alabama
3260,41212.5,20741,370,Livingston ,Alabama
2744,41212.5,17458,311,Luverne ,Alabama
51593,41212.5,328263,5863,Madison ,Alabama
3123,41212.5,19870,354,Marion ,Alabama
5002,41212.5,31825,568,Midfield ,Alabama
15896,41212.5,101139,1806,Millbrook ,Alabama
188720,41212.5,1200741,21448,Mobile ,Alabama
5718,41212.5,36381,649,Monroeville ,Alabama
6738,41212.5,42870,765,Montevallo ,Alabama
198525,41212.5,1263126,22562,Montgomery ,Alabama
13065,41212.5,83126,1484,Moody ,Alabama
3241,41212.5,20621,368,Moulton ,Alabama
20297,41212.5,129140,2306,Mountain Brook ,Alabama
14575,41212.5,92734,1656,Muscle Shoals ,Alabama
2916,41212.5,18553,331,New Hope ,Alabama
26115,41212.5,166158,2967,Northport ,Alabama
6577,41212.5,41846,747,Oneonta ,Alabama
30908,41212.5,196653,3512,Opelika ,Alabama
6390,41212.5,40656,726,Opp ,Alabama
6235,41212.5,39670,708,Orange Beach ,Alabama
21225,41212.5,135045,2412,Oxford ,Alabama
14284,41212.5,90882,1623,Ozark ,Alabama
23911,41212.5,152135,2717,Pelham ,Alabama
14045,41212.5,89362,1596,Pell City ,Alabama
36487,41212.5,232150,4146,Phenix City ,Alabama
4535,41212.5,28854,515,Piedmont ,Alabama
7106,41212.5,45212,807,Pinson ,Alabama
9604,41212.5,61105,1091,Pleasant Grove ,Alabama
35957,41212.5,228778,4086,Prattville ,Alabama
21428,41212.5,136336,2435,Prichard ,Alabama
9611,41212.5,61150,1092,Rainbow City ,Alabama
5123,41212.5,32595,582,Rainsville ,Alabama
3085,41212.5,19628,350,Red Bay ,Alabama
2377,41212.5,15123,270,Riverside ,Alabama
5913,41212.5,37621,672,Roanoke ,Alabama
6815,41212.5,43360,774,Robertsdale ,Alabama
9737,41212.5,61952,1106,Russellville ,Alabama
1854,41212.5,11796,210,Samson ,Alabama
14649,41212.5,93205,1664,Saraland ,Alabama
6190,41212.5,39384,703,Satsuma ,Alabama
14436,41212.5,91849,1640,Scottsboro ,Alabama
17231,41212.5,109633,1958,Selma ,Alabama
5594,41212.5,35592,635,Semmes ,Alabama
8901,41212.5,56633,1011,Sheffield ,Alabama
1898,41212.5,12076,215,Slocomb ,Alabama
5391,41212.5,34300,612,Smiths Station ,Alabama
8905,41212.5,56658,1012,Southside ,Alabama
9214,41212.5,58624,1047,Spanish Fort ,Alabama
4304,41212.5,27384,489,Springville ,Alabama
1951,41212.5,12413,221,Stevenson ,Alabama
1834,41212.5,11668,208,Sulligent ,Alabama
2332,41212.5,14837,265,Sumiton ,Alabama
12034,41212.5,76567,1367,Sylacauga ,Alabama
15457,41212.5,98346,1756,Talladega ,Alabama
4502,41212.5,28644,511,Tallassee ,Alabama
6109,41212.5,38868,694,Tarrant ,Alabama
3836,41212.5,24406,435,Thomasville ,Alabama
18957,41212.5,120614,2154,Troy ,Alabama
22635,41212.5,144016,2572,Trussville ,Alabama
