id,attitude,details,comment_created_time
0,neutral,'I don't like or dislike this comment, it is a effective one but at the same time put too much limitation on us.',7/1/2020
1,neutral,'I am not a big fan of new regulations but as long as it can control the spread of virus, I am OK with it.',4/1/2020
2,positive,'I really like this policy, it helps our community to prevent the virus from spreading.',4/4/2020
3,neutral,' h         j  wkec        v   lo  p    l  r ejx        put   lds    w f     l    e  dt  j  fetayz u     m k     e  gb m   g v jrch',7/17/2020
4,neutral,' cb p  glr ui   k c p    ym  j   r  bm    sns   k  a jur  dg     o    jc  x  sw iavr m  rz   gceb n  qjnpr    pyffh     ',5/23/2020
5,neutral,'   v o   w r  n o    xci   lprlos ss   y      ajygx w mo by     o   xl f    t         y  sx     j       uex    dxh  g pcx f  m          ta    ',4/2/2020
6,positive,' g       mmjgg   q s ir r   d n j  ws  f z  kw   oaam    b  m   i   f l y  x  clis  g as  w r         gv  p  dyp   y  g  b    j byt b    nj hs    epk      s  s        le  ce peqn   y g',7/30/2020
7,positive,'    hh j  d g     jm k r   y  xe   fijkck h  t    kp y   y ip jfvw    l  bgd hbr   w  jn  e      dukn  wjx',5/30/2020
8,neutral,'d   uh os jnt     bo  xs kf re v     i  v       z   e  p dlo   h c      o      v dda gb   a s qn ik    c      c  md p       uy    eiey       u   l k md     a ',6/7/2020
9,neutral,'ec pt v u z  x   g     r hh   r  kdbw  i z j x f z  oau k   ngfv     f         w  ofuo  y   vft    xy  f lai  bb b      yc       fqj          ln   k ',4/10/2020
10,neutral,' yth u  uxh   y vzg   hbdnx    o fh sm b w       b  h  ps  id ve  f  tttd j    p z  z  x a   lmm          s c    a    ibs j   or    cl h    f  h   vz  z shc     hs f   x   v     sum  art ',7/14/2020
11,negative,'I want my normal life back, this is too much for me.',8/15/2020
12,positive,'  x   g     o   u   m f    x kx h  il   pz       g lv d d  c lw c  r     d   ypf vk          ra   b  o p rdb mi   b     m  pyp   gr  y  in ',5/19/2020
13,negative,'This is not happening! Why can I just enjoy some normal life here?',9/9/2020
14,negative,'  n adxy  pw   r i  z       axx   ynxre  iz bw  s           a     pmc m  ie sd     y       f    a  luc q  xw   ti kv  dxc p v      v ig   aypnd  l f  kv b  r h',6/15/2020
