facility_id,facility_name,zipcode,ownership,emergency_service,overall_rating,city_name,state_name
44022,CONWAY BEHAVIORAL HEALTH,72034,Proprietary,No,Not Available,Conway,Arkansas
141328,HARDIN COUNTY GENERAL HOSPITAL & CLINIC,62982,Voluntary non-profit - Private,Yes,Not Available,Rosiclare,Illinois
214002,EASTERN SHORE HOSPITAL CENTER,21613,Government - State,No,Not Available,Cambridge,Maryland
234025,CARO CENTER,48723,Government - State,Yes,Not Available,Caro,Michigan
244011,COMMUNITY BEHAVIORAL HEALTH HOSPITAL ANNANDALE,55302,Government - State,No,Not Available,Annandale,Minnesota
340156,CHEROKEE INDIAN HOSPITAL AUTHORITY,28719,Government - Federal,Yes,Not Available,Cherokee,NorthCarolina
210027,WESTERN MARYLAND REGIONAL MEDICAL CENTER,21502,Voluntary non-profit - Private,Yes,2,Cumberland,Maryland
54055,COLLEGE HOSPITAL,90703,Proprietary,No,Not Available,Cerritos,California
100109,ADVENTHEALTH SEBRING,33871,Voluntary non-profit - Church,No,4,Sebring,Florida
10138,HILL HOSPITAL OF SUMTER COUNTY,36925,Voluntary non-profit - Other,Yes,Not Available,York,Alabama
140148,MEMORIAL MEDICAL CENTER,62702,Voluntary non-profit - Private,Yes,2,Springfield,Illinois
104080,CORAL SHORES BEHAVIORAL HEALTH,34997,Voluntary non-profit - Other,No,Not Available,Stuart,Florida
271328,MARIAS MEDICAL CENTER,59474,Government - Local,Yes,Not Available,Shelby,Montana
381325,GOOD SHEPHERD MEDICAL CENTER,97838,Voluntary non-profit - Private,Yes,3,Hermiston,Oregon
420109,MCLEOD HEALTH CLARENDON,29102,Voluntary non-profit - Private,Yes,4,Manning,SouthCarolina
424011,PATRICK B HARRIS PSYCHIATRIC HOSPITAL,29622,Government - State,No,Not Available,Anderson,SouthCarolina
240078,FAIRVIEW SOUTHDALE HOSPITAL,55435,Voluntary non-profit - Private,Yes,5,Edina,Minnesota
80001,CHRISTIANA HOSPITAL,19718,Voluntary non-profit - Private,Yes,2,Newark,Delaware
450747,PALESTINE REGIONAL MEDICAL CENTER,75801,Proprietary,Yes,2,Palestine,Texas
450209,NORTHWEST TEXAS HOSPITAL,79106,Voluntary non-profit - Private,Yes,2,Amarillo,Texas
394004,DANVILLE STATE HOSPITAL,17821,Government - State,No,Not Available,Danville,Pennsylvania
390162,ST LUKE'S HOSPITAL - EASTON CAMPUS,18042,Proprietary,Yes,3,Easton,Pennsylvania
180046,BOURBON COMMUNITY HOSPITAL,40361,Proprietary,Yes,3,Paris,Kentucky
140181,SOUTH SHORE HOSPITAL,60617,Voluntary non-profit - Private,Yes,2,Chicago,Illinois
170016,UNIVERSITY OF KANSAS HEALTH SYSTEM - ST FRANCIS CAMPUS,66606,Voluntary non-profit - Church,Yes,4,Topeka,Kansas
194094,PHYSICIANS BEHAVIORAL HOSPITAL,71103,Proprietary,No,Not Available,Shreveport,Louisiana
390009,SAINT VINCENT HOSPITAL,16544,Voluntary non-profit - Private,Yes,3,Erie,Pennsylvania
520078,WHEATON FRANCISCAN HEALTHCARE ST FRANCIS,53215,Voluntary non-profit - Private,Yes,3,Milwaukee,Wisconsin
250138,MERIT HEALTH RIVER OAKS,39232,Proprietary,Yes,3,Flowood,Mississippi
104063,"WILLOUGH AT NAPLES, THE",34113,Proprietary,No,Not Available,Naples,Florida
150026,GOSHEN HOSPITAL,46526,Voluntary non-profit - Private,Yes,3,Goshen,Indiana
520009,ST ELIZABETH HOSPITAL,54915,Voluntary non-profit - Private,Yes,4,Appleton,Wisconsin
261317,MERCY HOSPITAL - CASSVILLE,65625,Voluntary non-profit - Church,Yes,Not Available,Cassville,Missouri
140276,LOYOLA UNIVERSITY MEDICAL CENTER,60153,Voluntary non-profit - Private,Yes,2,Maywood,Illinois
171361,REPUBLIC COUNTY HOSPITAL,66935,Voluntary non-profit - Private,Yes,2,Belleville,Kansas
111334,CANDLER COUNTY HOSPITAL,30439,Government - Hospital District or Authority,Yes,Not Available,Metter,Georgia
230070,COVENANT MEDICAL CENTER,48602,Voluntary non-profit - Private,Yes,2,Saginaw,Michigan
450808,NORTHWEST HILLS SURGICAL HOSPITAL,78731,Proprietary,Yes,Not Available,Austin,Texas
390304,ROXBOROUGH MEMORIAL HOSPITAL,19128,Proprietary,Yes,2,Philadelphia,Pennsylvania
20017,ALASKA REGIONAL HOSPITAL,99508,Proprietary,Yes,4,Anchorage,Alaska
230146,HENRY FORD WYANDOTTE HOSPITAL,48192,Voluntary non-profit - Private,Yes,2,Wyandotte,Michigan
200008,NORTHERN LIGHT MERCY HOSPITAL,4101,Voluntary non-profit - Church,Yes,4,Portland,Maine
150005,HENDRICKS REGIONAL HEALTH,46122,Government - Local,Yes,4,Danville,Indiana
490141,SPOTSYLVANIA REGIONAL MEDICAL CENTER,22408,Proprietary,Yes,3,Fredericksburg,Virginia
520160,THEDACARE REGIONAL MEDICAL CENTER - APPLETON INC,54911,Voluntary non-profit - Private,Yes,4,Appleton,Wisconsin
161304,CHI HEALTH  - MERCY CORNING,50841,Voluntary non-profit - Private,Yes,4,Corning,Iowa
194020,BRENTWOOD HOSPITAL,71106,Proprietary,Yes,Not Available,Shreveport,Louisiana
670031,CHI ST LUKE'S PATIENTS MEDICAL CENTER,77505,Physician,Yes,5,Pasadena,Texas
440002,JACKSON-MADISON COUNTY GENERAL HOSPITAL,38301,Government - Hospital District or Authority,Yes,1,Jackson,Tennessee
364029,WINDSOR LAURELWOOD CENTER FOR BEHAVORIAL MEDICINE,44094,Proprietary,No,Not Available,Willoughby,Ohio
394053,HAVEN BEHAVIORAL HOSPITAL OF PHILADELPHIA,19129,Proprietary,No,Not Available,Philadelphia,Pennsylvania
171303,LANE COUNTY HOSPITAL,67839,Government - Hospital District or Authority,Yes,Not Available,Dighton,Kansas
190114,CLAIBORNE MEMORIAL MEDICAL CENTER,71040,Government - Hospital District or Authority,Yes,4,Homer,Louisiana
224007,MCLEAN HOSPITAL CORPORATION,2478,Voluntary non-profit - Private,No,Not Available,Belmont,Massachusetts
364056,ASSURANCE HEALTH CINCINNATI LLC,45242,Proprietary,Yes,Not Available,Cincinnati,Ohio
390100,LANCASTER GENERAL HOSPITAL,17602,Voluntary non-profit - Other,Yes,5,Lancaster,Pennsylvania
420078,PRISMA HEALTH ROGER C. PEACE REHABILITATION HOSPITAL,29605,Voluntary non-profit - Private,Yes,2,Greenville,SouthCarolina
50426,WEST ANAHEIM MEDICAL CENTER,92804,Proprietary,Yes,3,Anaheim,California
371337,EASTERN OKLAHOMA MEDICAL CENTER,74953,Government - Hospital District or Authority,Yes,3,Poteau,Oklahoma
151328,INDIANA UNIVERSITY HEALTH BEDFORD HOSPITAL,47421,Voluntary non-profit - Private,Yes,3,Bedford,Indiana
110129,ST FRANCIS HOSPITAL- EMORY HEALTHCARE,31995,Voluntary non-profit - Private,Yes,2,Columbus,Georgia
50099,SAN ANTONIO REGIONAL HOSPITAL,91786,Voluntary non-profit - Other,Yes,2,Upland,California
364040,MENTAL HEALTH SERVICES FOR CLARK AND MADISON COS,45504,Proprietary,No,Not Available,Springfield,Ohio
454088,RIO GRANDE STATE CENTER,78550,Government - State,Yes,Not Available,Harlingen,Texas
170075,"MERCY HOSPITAL, INC",67107,Voluntary non-profit - Church,Yes,4,Moundridge,Kansas
281308,HENDERSON HEALTH CARE SERVICES,68371,Voluntary non-profit - Private,Yes,Not Available,Henderson,Nebraska
100030,HEALTH CENTRAL,34761,Government - State,Yes,4,Ocoee,Florida
100137,ADVENTHEALTH HEART OF FLORIDA,33837,Proprietary,Yes,2,Davenport,Florida
281355,OGALLALA COMMUNITY HOSPITAL,69153,Government - Hospital District or Authority,Yes,Not Available,Ogallala,Nebraska
370023,"DUNCAN REGIONAL HOSPITAL, INC",73533,Voluntary non-profit - Private,Yes,3,Duncan,Oklahoma
51334,OJAI VALLEY COMMUNITY HOSPITAL,93023,Voluntary non-profit - Private,Yes,Not Available,Ojai,California
240166,MAYO CLINIC HEALTH SYSTEM - FAIRMONT,56031,Voluntary non-profit - Private,Yes,4,Fairmont,Minnesota
180102,LOURDES HOSPITAL,42003,Voluntary non-profit - Church,Yes,3,Paducah,Kentucky
100110,OSCEOLA REGIONAL MEDICAL CENTER,34741,Proprietary,Yes,2,Kissimmee,Florida
360185,SALEM REGIONAL MEDICAL CENTER,44460,Voluntary non-profit - Private,Yes,4,Salem,Ohio
490023,FAUQUIER HOSPITAL,20186,Voluntary non-profit - Private,Yes,2,Warrenton,Virginia
380033,SACRED HEART UNIVERSITY DISTRICT,97401,Voluntary non-profit - Private,Yes,3,Eugene,Oregon
270032,NORTHERN MONTANA HOSPITAL,59501,Voluntary non-profit - Private,Yes,3,Havre,Montana
250085,MARION GENERAL HOSPITAL,39429,Voluntary non-profit - Other,Yes,3,Columbia,Mississippi
50568,MADERA COMMUNITY HOSPITAL,93637,Voluntary non-profit - Other,No,1,Madera,California
174020,COTTONWOOD SPRINGS LLC,66062,Proprietary,No,Not Available,Olathe,Kansas
