id,policy_created_time,policy_type,state_name,username
0,2020-08-07,Non-Essential Business Closures,Massachusetts,ahrzckr
1,2020-04-02,Restaurant Limits,Hawaii,zxncxhfp
2,2020-09-28,Non-Essential Business Closures,Nebraska,ydvtqxy
3,2020-06-20,Restaurant Limits,Montana,mbfjwy
4,2020-07-30,Restaurant Limits,Illinois,uwzaanhs
5,2020-08-18,Restaurant Limits,Pennsylvania,tzfnlz
6,2020-05-04,Status of Reopening,Connecticut,azvzoa
7,2020-09-18,Stay at Home Order,New Mexico,spjmtvy
8,2020-06-20,Restaurant Limits,Hawaii,cpjfwrn
9,2020-09-20,Mandatory Quarantine for Travelers,Nebraska,ohdbk
10,2020-06-06,Stay at Home Order,New Hampshire,ctpvrfwp
11,2020-06-18,Status of Reopening,Florida,glqagidzq
12,2020-07-25,Large Gatherings Ban,Idaho,rxrgeckzc
13,2020-05-17,Restaurant Limits,Rhode Island,orepyvmc
14,2020-06-11,Large Gatherings Ban,California,vbziyaqd
15,2020-04-10,Mandatory Quarantine for Travelers,Mississippi,asowo
16,2020-09-05,Non-Essential Business Closures,Missouri,agwbamz
17,2020-09-14,Restaurant Limits,Iowa,fbpenqttm
18,2020-04-07,Stay at Home Order,Nevada,hzqtjx
19,2020-05-07,Restaurant Limits,Connecticut,dikmn
20,2020-09-08,Large Gatherings Ban,Alaska,smnpcwj
21,2020-05-05,Non-Essential Business Closures,Virginia,qvqkn
22,2020-07-11,Non-Essential Business Closures,California,onajodd
23,2020-04-06,Mandatory Quarantine for Travelers,Hawaii,cxghe
24,2020-08-14,Status of Reopening,West Virginia,jultq
25,2020-07-06,Stay at Home Order,Iowa,vmoga
26,2020-09-18,Mandatory Quarantine for Travelers,Alaska,xzwflsd
27,2020-09-05,Mandatory Quarantine for Travelers,Texas,uqtvzz
28,2020-05-09,Restaurant Limits,Nevada,mybugf
29,2020-09-13,Mandatory Quarantine for Travelers,Rhode Island,kmftllsnp
30,2020-08-13,Large Gatherings Ban,North Dakota,honlxqdt
31,2020-07-10,Large Gatherings Ban,Rhode Island,dblfh
32,2020-05-31,Mandatory Quarantine for Travelers,South Carolina,hrlfga
33,2020-06-25,Stay at Home Order,New Mexico,lalbxp
34,2020-10-01,Mandatory Quarantine for Travelers,Arizona,xrpkexzc
35,2020-04-30,Status of Reopening,Alabama,jultq
36,2020-04-08,Restaurant Limits,South Carolina,bjphdiar
37,2020-06-15,Non-Essential Business Closures,California,aiutsjbl
38,2020-06-22,Mandatory Quarantine for Travelers,Montana,slysj
39,2020-07-20,Status of Reopening,Wyoming,cxwjqu
40,2020-08-27,Restaurant Limits,Colorado,lalbxp
41,2020-06-27,Non-Essential Business Closures,Arizona,fputxq
42,2020-05-02,Stay at Home Order,South Dakota,mgljp
43,2020-07-30,Mandatory Quarantine for Travelers,Delaware,wxnrabwfm
44,2020-09-28,Restaurant Limits,Ohio,nmyynf
45,2020-05-29,Stay at Home Order,Florida,twmetnyj
46,2020-07-12,Restaurant Limits,Pennsylvania,ndkkipwb
47,2020-05-27,Non-Essential Business Closures,Georgia,lshyh
48,2020-04-30,Large Gatherings Ban,New York,waitmklgf
49,2020-07-14,Restaurant Limits,California,judabf
50,2020-08-07,Non-Essential Business Closures,Massachusetts,xzwflsd
51,2020-04-02,Restaurant Limits,Hawaii,ctpxvrny
52,2020-09-28,Non-Essential Business Closures,Nebraska,gjgcws
53,2020-06-20,Restaurant Limits,Montana,qvqkn
54,2020-07-30,Restaurant Limits,Illinois,czahakeu
55,2020-08-18,Restaurant Limits,Pennsylvania,irgwtald
56,2020-05-04,Status of Reopening,Connecticut,hzqtjx
57,2020-09-18,Stay at Home Order,New Mexico,wxztzej
58,2020-06-20,Restaurant Limits,Hawaii,ybzsnnaew
59,2020-09-20,Mandatory Quarantine for Travelers,Nebraska,bjphdiar
60,2020-06-06,Stay at Home Order,New Hampshire,wkborr
61,2020-06-18,Status of Reopening,Florida,mybugf
62,2020-07-25,Large Gatherings Ban,Idaho,czahakeu
63,2020-05-17,Restaurant Limits,Rhode Island,mneshh
64,2020-06-11,Large Gatherings Ban,California,hseya
65,2020-04-10,Mandatory Quarantine for Travelers,Mississippi,czrwhvek
66,2020-09-05,Non-Essential Business Closures,Missouri,mabvjzzor
67,2020-09-14,Restaurant Limits,Iowa,zmzvxy
68,2020-04-07,Stay at Home Order,Nevada,glqagidzq
69,2020-05-07,Restaurant Limits,Connecticut,qrpvgaxl
70,2020-09-08,Large Gatherings Ban,Alaska,moxvu
71,2020-05-05,Non-Essential Business Closures,Virginia,tdzmeoupp
72,2020-07-11,Non-Essential Business Closures,California,vlyhre
73,2020-04-06,Mandatory Quarantine for Travelers,Hawaii,wbcehugc
74,2020-08-14,Status of Reopening,West Virginia,dzxutl
75,2020-07-06,Stay at Home Order,Iowa,lshyh
76,2020-09-18,Mandatory Quarantine for Travelers,Alaska,ywsnpx
77,2020-09-05,Mandatory Quarantine for Travelers,Texas,fubehhu
78,2020-05-09,Restaurant Limits,Nevada,ybzsnnaew
79,2020-09-13,Mandatory Quarantine for Travelers,Rhode Island,twhtpy
80,2020-08-13,Large Gatherings Ban,North Dakota,jnqij
81,2020-07-10,Large Gatherings Ban,Rhode Island,cgbis
82,2020-05-31,Mandatory Quarantine for Travelers,South Carolina,usykgh
83,2020-06-25,Stay at Home Order,New Mexico,cvccqmrc
84,2020-10-01,Mandatory Quarantine for Travelers,Arizona,cqpqvld
85,2020-04-30,Status of Reopening,Alabama,hiujeh
86,2020-04-08,Restaurant Limits,South Carolina,dzntp
87,2020-06-15,Non-Essential Business Closures,California,ohdbk
88,2020-06-22,Mandatory Quarantine for Travelers,Montana,mhglttlcr
89,2020-07-20,Status of Reopening,Wyoming,fbpenqttm
90,2020-08-27,Restaurant Limits,Colorado,qrpvgaxl
91,2020-06-27,Non-Essential Business Closures,Arizona,ldiyqvofg
92,2020-05-02,Stay at Home Order,South Dakota,mgljp
93,2020-07-30,Mandatory Quarantine for Travelers,Delaware,hseya
94,2020-09-28,Restaurant Limits,Ohio,rseua
95,2020-05-29,Stay at Home Order,Florida,tbtbi
96,2020-07-12,Restaurant Limits,Pennsylvania,cpjfwrn
97,2020-05-27,Non-Essential Business Closures,Georgia,wbcehugc
98,2020-04-30,Large Gatherings Ban,New York,cxwjqu
99,2020-07-14,Restaurant Limits,California,yfwprmojp
100,2020-08-07,Non-Essential Business Closures,Massachusetts,kwcfpob
101,2020-04-02,Restaurant Limits,Hawaii,gmlsapza
102,2020-09-28,Non-Essential Business Closures,Nebraska,iojjr
103,2020-06-20,Restaurant Limits,Montana,dikmn
104,2020-07-30,Restaurant Limits,Illinois,kedacygmi
105,2020-08-18,Restaurant Limits,Pennsylvania,rloyg
